Nombre Departamento,Id Asignatura,Nombre Asignatura,Activ Principal,Duracion,Jornada,Virtual,Aplicar Capacidad,Capacidad Reservada,Capacidad Minima,Tipo Limitacion,Clase Actividad,Actividad,Act Responsable,Grupo,Seccional Gr Activ,Ofertado,Capacidad Grupo,Alumnos Inscritos,Capacidad Salon,Fecha Inicio,Fecha Fin,Dia Semana,Hora Inicio,Hora Final,Salón,Módulo,Tipo Lugar,Nombre Grupo,Ofertada Lc,Activ Compartida,SEMESTRE
ÁREA ACADÉMICA HUMANIDADES Y ESTUDIOS LITERARIOS,8006,HUMANIDADES II. FARMACODEPENDENCIA Y ADICCIONES,S,2S,MAÑANA,S,S,,15,N,CLASE VIRTUAL,009117MG,N,1,Seccional Bogotá,S,45,43,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,LUNES,11:00,13:00,-,-,-,CLASE VIRTUAL - GRUPO 1 - BOGOTÁ,N,S,#N/A
ÁREA ACADÉMICA HUMANIDADES Y ESTUDIOS LITERARIOS,8006,HUMANIDADES II. FARMACODEPENDENCIA Y ADICCIONES,S,2S,NOCHE,S,S,,15,,CLASE VIRTUAL,009117MG,N,2,Seccional Bogotá,S,40,28,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,MARTES,18:00,20:00,-,-,-,CLASE VIRTUAL - GRUPO 2 - BOGOTÁ - NOCTURNO,N,S,#N/A
ÁREA ACADÉMICA HUMANIDADES Y ESTUDIOS LITERARIOS,8013,HUMANIDADES III. LITERATURA COLOMBIANA EN EL CINE,S,2S,TARDE,S,S,,25,N,CLASE VIRTUAL,009128MG,N,2,Seccional Bogotá,S,65,53,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,MARTES,13:00,15:00,-,-,-,CLASE VIRTUAL - GRUPO 2 - BOGOTÁ,N,S,#N/A
ÁREA ACADÉMICA HUMANIDADES Y ESTUDIOS LITERARIOS,8013,HUMANIDADES III. LITERATURA COLOMBIANA EN EL CINE,S,2S,TARDE,S,S,,20,N,CLASE VIRTUAL,009128MG,N,1,Seccional Bogotá,S,65,25,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,VIERNES,15:00,17:00,-,-,-,CLASE VIRTUAL - GRUPO 1 - BOGOTÁ,N,S,#N/A
ÁREA ACADÉMICA HUMANIDADES Y ESTUDIOS LITERARIOS,8015,HUMANIDADES III. ESCRITORAS COLOMBIANAS: IMAGINARIOS DESEO Y CUERPO,S,2S,MAÑANA,S,S,,20,N,CLASE VIRTUAL,009130MG,N,1,Seccional Bogotá,S,65,59,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,VIERNES,9:00,11:00,-,-,-,CLASE VIRTUAL - GRUPO 1 - BOGOTÁ,N,S,#N/A
ÁREA ACADÉMICA INDUSTRIAS Y TECNOLOGÍAS DIGITALES,8029,ELECTIVA. ARQUITECTURA EMPRESARIAL,S,2S,TARDE,S,S,,1,,CLASE VIRTUAL,008992T4,N,2,Seccional Bogotá,S,10,3,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,LUNES,14:00,18:00,-,-,-,CLASE VIRTUAL - GRUPO 2 ASINCRÓNICO- BOGOTÁ,N,S,#N/A
ÁREA ACADÉMICA INDUSTRIAS Y TECNOLOGÍAS DIGITALES,8029,ELECTIVA. ARQUITECTURA EMPRESARIAL,S,2S,NOCHE,S,S,,10,,CLASE VIRTUAL,008992T4,N,1,Seccional Bogotá,S,35,18,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,MIÉRCOLES,18:00,21:00,-,-,-,CLASE VIRTUAL - GRUPO 1 - BOGOTÁ,N,S,#N/A
ÁREA ACADÉMICA CIENCIAS BIOLÓGICAS Y AMBIENTALES,8046,ELECTIVA. INTRODUCCIÓN A LA BIOLOGÍA MARINA,S,2S,CRU,S,S,,,,CLASE VIRTUAL,008046T2,S,1,Seccional Bogotá,S,22,21,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,LUNES,14:00,17:00,-,-,-,CLASE VIRTUAL - GRUPO 1 - BOGOTÁ,N,N,#N/A
ÁREA ACADÉMICA CIENCIAS BIOLÓGICAS Y AMBIENTALES,8063,ELECTIVA. INTRODUCCIÓN A LA BIOLOGÍA AMBIENTAL,S,2S,CRU,S,S,,,N,CLASE VIRTUAL,008063T4,S,1,Seccional Bogotá,S,18,13,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,JUEVES,14:00,17:00,-,-,-,CLASE VIRTUAL- GRUPO 1 - BOGOTÁ,N,N,#N/A
ÁREA ACADÉMICA CIENCIAS BIOLÓGICAS Y AMBIENTALES,8064,ELECTIVA. INTRODUCCIÓN A LOS BIOENSAYOS,S,2S,CRU,S,S,,,,AULA TEÓRICA AUDIOVISUALES CÁTEDRA PUPITRE,008064T2,S,1,Seccional Bogotá,S,6,3,,2021-07-26T00:00:00.000-05:00,2021-11-20T00:00:00.000-05:00,JUEVES,12:00,15:00,-,-,-,CLASE TEÓRICA - GRUPO 1 - BOGOTÁ,N,N,#N/A
